1 | 2 | 0.79 | 0.366 | 0 | 1 | # | 0 | 0 | 507.52 | 380.64 | 2.8839 | 1.3361 | 1421056 | 1065792 | 3408.4591 | 0 | 10.7635 | 0 | 
2 | 3 | 0.79 | 0.366 | 0 | 2 | 0 | 0 | 0 | 64 | 48 | 0.0917 | 0.0425 | 179200 | 134400 | 108.4031 | 0 | 10.7505 | 0 | 
2 | 4 | 0.79 | 0.366 | 0 | 3 | 0 | 0 | 0 | 443.52 | 332.64 | 6.6072 | 3.061 | 1241856 | 931392 | 7809.0722 | 0 | 10.6286 | 0 |
3 | 101 | 0 | 0 | 100 | 0 | 1 | 64 | 48 | 64 | 48 | 1.25968 | 3.28562 | 179200 | 134400 | 1488.82742 | 0.73 | 10.7501 | 6.5 | 
4 | 5 | 0.85 | 0.366 | 0 | 4 | 2 | 0 | 0 | 403.2 | 302.4 | 7.8336 | 3.3731 | 1128960 | 846720 | 9258.5855 | 0 | 10.4559 | 0 | 
4 | 6 | 0.79 | 0.366 | 0 | 5 | 2 | 0 | 0 | 40.32 | 30.24 | 0.091 | 0.0422 | 112896 | 84672 | 107.563 | 0 | 10.6082 | 0 | 
5 | 104 | 0 | 0 | 630 | 0 | 4 | 403.2 | 302.4 | 403.2 | 302.4 | 5.5296 | 21.4272 | 1128960 | 846720 | 6535.47211 | 1.68 | 10.4555 | 12.6 | 

6 | 7 | 0.79 | 0.366 | 0 | 6 | 5 | 0 | 0 | 40.32 | 30.24 | 0.1092 | 0.0506 | 112896 | 84672 | 129.0756 | 0 | 10.5837 | 0 |
7 | 102 | 0 | 0 | 63 | 0 | 7 | 40.32 | 30.24 | 40.32 | 30.24 | 0.82022 | 1.61971 | 112896 | 84672 | 969.42836 | 0.22 | 10.5834 | 1.764 |  
